country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
United Kingdom,GBR,1/12/2021,3067541,2639309,428232,223726,186170,4.52,3.89,0.63,2742,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,1/12/2021,9327138,9327138,,339816,641524,2.79,2.79,,1918,"Moderna, Pfizer/BioNTech"
Wales,,1/12/2021,101479,101371,108,10143,5847,3.22,3.22,0,1854,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,1/13/2021,188,188,,60,63,0.01,0.01,,22,Pfizer/BioNTech
Argentina,ARG,1/13/2021,166833,,,,13323,0.37,,,295,Sputnik V
Austria,AUT,1/13/2021,21259,20064,,,,0.24,0.22,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,1/13/2021,101363,101363,,3587,4699,5.96,5.96,,2762,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,1/13/2021,68589,68589,,20616,8908,0.59,0.59,,769,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,1/13/2021,,,,,278,,,,4464,Pfizer/BioNTech
Bulgaria,BGR,1/13/2021,17038,17038,,1258,1304,0.25,0.25,,188,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,1/13/2021,288488,,,21410,4282,0.76,,,113,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,1/13/2021,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,1/13/2021,11733,10704,1029,1030,147,0.06,0.06,0.01,8,"Pfizer/BioNTech, Sinovac"
China,CHN,1/13/2021,10000000,,,,357143,0.69,,,248,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,1/13/2021,,,,,1959,,,,385,Pfizer/BioNTech
Croatia,HRV,1/13/2021,34553,34553,,,2479,0.84,0.84,,604,Pfizer/BioNTech
Cyprus,CYP,1/13/2021,,,,,664,,,,758,Pfizer/BioNTech
Czechia,CZE,1/13/2021,86281,86281,,13469,8313,0.81,0.81,,776,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,1/13/2021,130771,130771,,12726,6089,2.26,2.26,,1051,"Moderna, Pfizer/BioNTech"
England,,1/13/2021,2910027,2494371,415656,248177,175631,5.17,4.43,0.74,3120,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,1/13/2021,13481,,,1585,1210,1.02,,,912,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Finland,FIN,1/13/2021,23126,,,5509,2332,0.42,,,421,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,1/13/2021,235786,235786,,56667,31246,0.35,0.35,,461,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,1/13/2021,894573,894573,,98416,64927,1.07,1.07,,775,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,1/13/2021,,,,,986,,,,29266,Pfizer/BioNTech
Greece,GRC,1/13/2021,64932,64932,,8457,6331,0.62,0.62,,607,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,HUN,1/13/2021,96101,,,9172,9229,0.99,,,955,Pfizer/BioNTech
Iceland,ISL,1/13/2021,,,,,63,,,,185,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Indonesia,IDN,1/13/2021,,,,,13200,,,,48,Sinovac
Ireland,IRL,1/13/2021,77303,,,,9394,1.57,,,1902,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,1/13/2021,2146123,2028869,117254,108255,68398,24.79,23.44,1.35,7902,"Moderna, Pfizer/BioNTech"
Italy,ITA,1/13/2021,924616,924616,,92931,84054,1.53,1.53,,1390,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,KWT,1/13/2021,,,,,1121,,,,262,Pfizer/BioNTech
Latvia,LVA,1/13/2021,,11477,,,,,0.61,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,1/13/2021,33935,33935,,6146,2867,1.25,1.25,,1053,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,1/13/2021,2871,2871,,499,177,0.46,0.46,,283,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mexico,MEX,1/13/2021,192567,192567,,99688,19912,0.15,0.15,,154,Pfizer/BioNTech
Monaco,MCO,1/13/2021,,,,,126,,,,3211,Pfizer/BioNTech
Netherlands,NLD,1/13/2021,47000,,,2000,5857,0.27,,,342,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,1/13/2021,121711,102701,19010,12454,8332,6.43,5.42,1,4400,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,1/13/2021,37420,37420,,9766,3256,0.69,0.69,,601,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,1/13/2021,22749,22749,,2100,1249,0.45,0.45,,245,"Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,POL,1/13/2021,369212,369212,,59592,29836,0.98,0.98,,788,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,1/13/2021,,,,,7668,,,,752,"Moderna, Pfizer/BioNTech"
Qatar,QAT,1/13/2021,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,1/13/2021,154268,154268,,13821,13673,0.8,0.8,,711,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,1/13/2021,1000000,1000000,,,18182,0.69,0.69,,125,Sputnik V
Saudi Arabia,SAU,1/13/2021,,,,,16772,,,,482,Pfizer/BioNTech
Scotland,,1/13/2021,211397,208207,3190,16442,10569,3.87,3.81,0.06,1935,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,1/13/2021,,,,,1785,,,,262,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,1/13/2021,2000,2000,,,500,2.03,2.03,,5084,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,1/13/2021,,,,,4090,,,,699,Pfizer/BioNTech
Slovakia,SVK,1/13/2021,46727,46727,,6750,5730,0.86,0.86,,1050,Pfizer/BioNTech
Slovenia,SVN,1/13/2021,35974,35974,,4670,2234,1.73,1.73,,1075,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,1/13/2021,581638,581638,,93516,58330,1.24,1.24,,1248,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,1/13/2021,,,,,7070,,,,700,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,1/13/2021,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech"
Turkey,TUR,1/13/2021,0,,,,,0,,,,Sinovac
Turks and Caicos Islands,TCA,1/13/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,1/13/2021,1394580,,,118928,76797,14.1,,,7765,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,1/13/2021,3356229,2918252,437977,288688,201308,4.94,4.3,0.65,2965,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,1/13/2021,10278462,,,951324,710238,3.07,,,2124,"Moderna, Pfizer/BioNTech"
Wales,,1/13/2021,113094,112973,121,11615,6776,3.59,3.58,0,2149,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,1/14/2021,266,266,,78,66,0.01,0.01,,23,Pfizer/BioNTech
Argentina,ARG,1/14/2021,,,,,13320,,,,295,Sputnik V
Austria,AUT,1/14/2021,47087,29359,,25828,6457,0.52,0.33,,717,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,1/14/2021,109566,109566,,8203,5332,6.44,6.44,,3134,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,1/14/2021,91174,91174,,22585,10973,0.79,0.79,,947,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,1/14/2021,,,,,278,,,,4464,Pfizer/BioNTech
Bulgaria,BGR,1/14/2021,17686,17686,,648,938,0.25,0.25,,135,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,1/14/2021,310788,,,22300,7285,0.82,,,193,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,1/14/2021,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,1/14/2021,18647,12822,5825,6914,1135,0.1,0.07,0.03,59,"Pfizer/BioNTech, Sinovac"
China,CHN,1/14/2021,,,,,387755,,,,269,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,1/14/2021,,,,,2058,,,,404,Pfizer/BioNTech
Croatia,HRV,1/14/2021,38000,38000,,3447,2485,0.93,0.93,,605,Pfizer/BioNTech
Cyprus,CYP,1/14/2021,,,,,708,,,,808,Pfizer/BioNTech
Czechia,CZE,1/14/2021,101360,101360,,15079,9333,0.95,0.95,,872,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,1/14/2021,148655,148655,,17884,6136,2.57,2.57,,1059,"Moderna, Pfizer/BioNTech"
England,,1/14/2021,3189674,2769164,420510,279647,192253,5.67,4.92,0.75,3416,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,1/14/2021,14879,,,1398,1178,1.12,,,888,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Finland,FIN,1/14/2021,33033,,,9907,3554,0.6,,,641,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,1/14/2021,306206,306206,,70420,37561,0.45,0.45,,554,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,1/14/2021,994737,994608,129,100164,70888,1.19,1.19,0,846,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,1/14/2021,,,,,959,,,,28465,Pfizer/BioNTech
Greece,GRC,1/14/2021,70960,70960,,6028,6359,0.68,0.68,,610,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,HUN,1/14/2021,105728,,,9627,9026,1.09,,,934,Pfizer/BioNTech
Iceland,ISL,1/14/2021,,,,,63,,,,185,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Indonesia,IDN,1/14/2021,,,,,13200,,,,48,Sinovac
Ireland,IRL,1/14/2021,,,,,9452,,,,1914,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,1/14/2021,2270780,2084899,185881,124657,69604,26.23,24.09,2.15,8042,"Moderna, Pfizer/BioNTech"
Italy,ITA,1/14/2021,1016773,1016773,,92157,84123,1.68,1.68,,1391,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,KWT,1/14/2021,,,,,1121,,,,262,Pfizer/BioNTech
Latvia,LVA,1/14/2021,,13299,,,,,0.71,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,1/14/2021,42560,42560,,8625,3506,1.56,1.56,,1288,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,1/14/2021,3233,3233,,362,220,0.52,0.52,,351,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mexico,MEX,1/14/2021,329983,329983,,137416,38797,0.26,0.26,,301,Pfizer/BioNTech
Monaco,MCO,1/14/2021,,,,,126,,,,3211,Pfizer/BioNTech
Netherlands,NLD,1/14/2021,,,,,5143,,,,300,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Cyprus,OWID_NCY,1/14/2021,0,,,,,0,,,,"Pfizer/BioNTech, Sinovac"
Northern Ireland,,1/14/2021,133831,114567,19264,12120,9044,7.07,6.05,1.02,4776,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,1/14/2021,45866,45866,,8446,3525,0.85,0.85,,650,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,1/14/2021,24204,24204,,1455,1328,0.47,0.47,,260,"Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,POL,1/14/2021,410480,410480,,41268,31646,1.08,1.08,,836,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,1/14/2021,,,,,6406,,,,628,"Moderna, Pfizer/BioNTech"
Qatar,QAT,1/14/2021,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,1/14/2021,167612,167612,,13344,13030,0.87,0.87,,677,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,1/14/2021,,,,,30380,,,,208,Sputnik V
Saudi Arabia,SAU,1/14/2021,,,,,14153,,,,407,Pfizer/BioNTech
Scotland,,1/14/2021,228171,224840,3331,16774,11939,4.18,4.12,0.06,2185,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,1/14/2021,18136,18136,,,1856,0.27,0.27,,273,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,1/14/2021,,,,,600,,,,6101,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,1/14/2021,,,,,4520,,,,773,Pfizer/BioNTech
Slovakia,SVK,1/14/2021,54183,54183,,7456,5789,0.99,0.99,,1060,Pfizer/BioNTech
Slovenia,SVN,1/14/2021,42628,42628,,6654,2434,2.05,2.05,,1171,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,1/14/2021,676186,676186,,94548,66980,1.45,1.45,,1433,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,1/14/2021,,,,,7850,,,,777,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,1/14/2021,66000,,,,3000,0.76,,,347,"Moderna, Pfizer/BioNTech"
Turkey,TUR,1/14/2021,279452,,,279452,279452,0.33,,,3313,Sinovac
Turks and Caicos Islands,TCA,1/14/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,1/14/2021,1527833,,,133253,91448,15.45,,,9246,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,1/14/2021,3678180,3234946,443234,321951,221198,5.42,4.77,0.65,3258,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,1/14/2021,11148991,9690757,1342086,870529,747082,3.33,2.9,0.4,2234,"Moderna, Pfizer/BioNTech"
Wales,,1/14/2021,126504,126375,129,13410,7961,4.01,4.01,0,2525,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,1/15/2021,308,308,,42,62,0.01,0.01,,22,Pfizer/BioNTech
Argentina,ARG,1/15/2021,200759,,,,13317,0.44,,,295,Sputnik V
Austria,AUT,1/15/2021,67473,39751,,20386,9243,0.75,0.44,,1026,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,1/15/2021,122819,122819,,13253,6361,7.22,7.22,,3738,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,1/15/2021,113941,113941,,22767,12919,0.98,0.98,,1115,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,1/15/2021,,,,,278,,,,4464,Pfizer/BioNTech
Bulgaria,BGR,1/15/2021,18126,18126,,440,682,0.26,0.26,,98,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,1/15/2021,342227,,,31439,10736,0.91,,,284,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,1/15/2021,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,1/15/2021,22076,13779,8297,3429,1625,0.12,0.07,0.04,85,"Pfizer/BioNTech, Sinovac"
China,CHN,1/15/2021,,,,,418367,,,,291,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,1/15/2021,24859,24804,55,,2158,0.49,0.49,0,424,Pfizer/BioNTech
Croatia,HRV,1/15/2021,41532,41532,,3532,2364,1.01,1.01,,576,Pfizer/BioNTech
Cyprus,CYP,1/15/2021,10226,,,,751,1.17,,,857,Pfizer/BioNTech
Czechia,CZE,1/15/2021,115182,115182,,13822,9888,1.08,1.08,,923,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,1/15/2021,163870,163865,5,15215,7094,2.83,2.83,0,1225,"Moderna, Pfizer/BioNTech"
England,,1/15/2021,3514385,3090058,424327,324711,215314,6.24,5.49,0.75,3825,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,1/15/2021,16677,,,1798,1243,1.26,,,937,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Finland,FIN,1/15/2021,43143,,,10110,4573,0.78,,,825,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,1/15/2021,364846,364846,,58640,41261,0.54,0.54,,608,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,1/15/2021,1087177,1086634,543,92440,75522,1.3,1.3,0,901,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,1/15/2021,5135,5135,,,943,15.24,15.24,,27990,Pfizer/BioNTech
Greece,GRC,1/15/2021,75412,75412,,4452,5734,0.72,0.72,,550,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,HUN,1/15/2021,112847,,,7119,8688,1.17,,,899,Pfizer/BioNTech
Iceland,ISL,1/15/2021,,,,,63,,,,185,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,1/15/2021,0,,,,,0,,,,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,1/15/2021,,,,,13200,,,,48,Sinovac
Ireland,IRL,1/15/2021,,,,,8873,,,,1797,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,1/15/2021,2337469,2115619,221850,66689,69626,27.01,24.44,2.56,8044,"Moderna, Pfizer/BioNTech"
Italy,ITA,1/15/2021,1104833,1104833,,88060,83110,1.83,1.83,,1375,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,KWT,1/15/2021,,,,,1121,,,,262,Pfizer/BioNTech
Latvia,LVA,1/15/2021,,15166,,,,,0.8,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,1/15/2021,49825,49825,,7265,3805,1.83,1.83,,1398,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,1/15/2021,,,,,236,,,,377,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mexico,MEX,1/15/2021,417375,415417,1958,87392,49987,0.32,0.32,0,388,Pfizer/BioNTech
Monaco,MCO,1/15/2021,,,,,126,,,,3211,Pfizer/BioNTech
Netherlands,NLD,1/15/2021,55000,,,,4000,0.32,,,233,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Cyprus,OWID_NCY,1/15/2021,,,,,994,,,,2601,"Pfizer/BioNTech, Sinovac"
Northern Ireland,,1/15/2021,137380,117906,19474,3549,8530,7.25,6.23,1.03,4504,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,1/15/2021,50333,50333,,4467,3933,0.93,0.93,,725,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,1/15/2021,,,,,1358,,,,266,"Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,POL,1/15/2021,436963,436963,,26483,34025,1.15,1.15,,899,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,1/15/2021,106000,106000,,,5143,1.04,1.04,,504,"Moderna, Pfizer/BioNTech"
Qatar,QAT,1/15/2021,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,1/15/2021,183669,183669,,16057,12995,0.95,0.95,,675,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,1/15/2021,,,,,42579,,,,292,Sputnik V
Saudi Arabia,SAU,1/15/2021,,,,,15498,,,,445,Pfizer/BioNTech
Scotland,,1/15/2021,,,,,12843,,,,2351,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,1/15/2021,,,,,2221,,,,326,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,1/15/2021,4000,4000,,,667,4.07,4.07,,6783,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,1/15/2021,,,,,4735,,,,809,Pfizer/BioNTech
Slovakia,SVK,1/15/2021,62037,62037,,7854,5905,1.14,1.14,,1082,Pfizer/BioNTech
Slovenia,SVN,1/15/2021,47384,47384,,4756,2658,2.28,2.28,,1279,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,1/15/2021,768950,768950,,92764,70139,1.64,1.64,,1500,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,1/15/2021,,,,,8630,,,,855,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,1/15/2021,,,,,3829,,,,442,"Moderna, Pfizer/BioNTech"
Turkey,TUR,1/15/2021,616652,,,337200,308326,0.73,,,3656,Sinovac
Turks and Caicos Islands,TCA,1/15/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,1/15/2021,1665987,,,138154,103490,16.84,,,10464,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,1/15/2021,4006440,3559179,447261,328260,241988,5.9,5.24,0.66,3565,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,1/15/2021,12279180,10595866,1610524,1130189,798707,3.67,3.17,0.48,2388,"Moderna, Pfizer/BioNTech"
Wales,,1/15/2021,,,,,8442,,,,2678,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,1/16/2021,369,369,,61,62,0.01,0.01,,22,Pfizer/BioNTech
Argentina,ARG,1/16/2021,,,,,12971,,,,287,Sputnik V
Austria,AUT,1/16/2021,76066,50402,,8593,9134,0.84,0.56,,1014,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,1/16/2021,137159,137159,,14340,7572,8.06,8.06,,4450,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,1/16/2021,118962,118962,,5021,13181,1.03,1.03,,1137,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,1/16/2021,1665,1665,,,278,2.67,2.67,,4464,Pfizer/BioNTech
Brazil,BRA,1/16/2021,0,0,,,,0,0,,,"Oxford/AstraZeneca, Sinovac"
Bulgaria,BGR,1/16/2021,18332,18332,,206,694,0.26,0.26,,100,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,1/16/2021,,564874,26768,,14575,,1.5,0.07,386,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,1/16/2021,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,1/16/2021,22166,13802,8364,90,1638,0.12,0.07,0.04,86,"Pfizer/BioNTech, Sinovac"
China,CHN,1/16/2021,,,,,448980,,,,312,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,1/16/2021,,,,,2066,,,,406,Pfizer/BioNTech
Croatia,HRV,1/16/2021,45906,45906,,4374,2272,1.12,1.12,,553,Pfizer/BioNTech
Cyprus,CYP,1/16/2021,,,,,821,,,,937,Pfizer/BioNTech
Czechia,CZE,1/16/2021,118503,118503,,3321,10077,1.11,1.11,,941,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,1/16/2021,168487,168475,12,4617,7482,2.91,2.91,0,1292,"Moderna, Pfizer/BioNTech"
England,,1/16/2021,3791594,3365492,426102,277209,231588,6.74,5.98,0.76,4114,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,1/16/2021,17959,,,1282,1109,1.35,,,836,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Finland,FIN,1/16/2021,,,,,4971,,,,897,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,1/16/2021,382326,382326,,17480,42287,0.56,0.56,,623,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,1/16/2021,1143986,1143000,986,56809,75536,1.37,1.36,0,902,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,1/16/2021,5847,5847,,712,904,17.35,17.35,,26832,Pfizer/BioNTech
Greece,GRC,1/16/2021,80391,80389,2,4979,5709,0.77,0.77,0,548,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,HUN,1/16/2021,119944,,,7097,8347,1.24,,,864,Pfizer/BioNTech
Iceland,ISL,1/16/2021,,,,,63,,,,185,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,1/16/2021,191181,,,191181,191181,0.01,,,139,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,1/16/2021,,,,,13200,,,,48,Sinovac
Ireland,IRL,1/16/2021,,,,,8293,,,,1679,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,1/16/2021,2392969,2145091,247878,55500,71178,27.65,24.78,2.86,8223,"Moderna, Pfizer/BioNTech"
Italy,ITA,1/16/2021,1169074,1169074,,64241,79890,1.93,1.93,,1321,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,KWT,1/16/2021,,,,,1121,,,,262,Pfizer/BioNTech
Latvia,LVA,1/16/2021,,15832,,,,,0.84,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,1/16/2021,50921,50921,,1096,3918,1.87,1.87,,1439,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,1/16/2021,,,,,252,,,,403,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mexico,MEX,1/16/2021,463246,461025,2221,45871,55493,0.36,0.36,0,430,Pfizer/BioNTech
Monaco,MCO,1/16/2021,,,,,126,,,,3211,Pfizer/BioNTech
Netherlands,NLD,1/16/2021,,,,,5143,,,,300,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Cyprus,OWID_NCY,1/16/2021,,,,,994,,,,2601,"Pfizer/BioNTech, Sinovac"
Northern Ireland,,1/16/2021,140561,120387,20174,3181,7964,7.42,6.36,1.07,4206,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,1/16/2021,51073,51073,,740,4019,0.94,0.94,,741,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,1/16/2021,24773,24773,,,1393,0.49,0.49,,273,"Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,POL,1/16/2021,457303,457303,,20340,36754,1.21,1.21,,971,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,1/16/2021,,,,,6571,,,,644,"Moderna, Pfizer/BioNTech"
Qatar,QAT,1/16/2021,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,1/16/2021,196090,196090,,12421,13398,1.02,1.02,,696,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,1/16/2021,,,,,54777,,,,375,Sputnik V
Saudi Arabia,SAU,1/16/2021,,,,,16843,,,,484,Pfizer/BioNTech
Scotland,,1/16/2021,,,,,13747,,,,2516,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,1/16/2021,,,,,2687,,,,395,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
